annee,mois,jour,jour_semaine,id_ligne,mode_transport,precipitation,vent,neige,temperature,meteo_defavorable,accessibilite,air_conditionne
2026,3,13,0,C00917,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01058,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C02456,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C02494,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01286,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02594,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02750,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00029,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01973,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00103,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01140,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01622,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00785,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01432,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01229,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00629,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00074,bus,2.9,25.0,0.0,8.5,0,TRUE,unknown
2026,3,13,0,C00979,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02005,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00069,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02601,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02619,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01853,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C01962,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00364,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00175,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01560,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01431,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01831,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C00030,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00072,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00694,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01564,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00306,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01139,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02154,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01147,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01735,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00845,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00958,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01700,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01287,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00270,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01586,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02207,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C00299,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02664,bus,2.9,25.0,0.0,8.5,0,,
2026,3,13,0,C02732,tram,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01388,tram,2.9,25.0,0.0,8.5,0,TRUE,unknown
2026,3,13,0,C00016,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01498,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C02128,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01402,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02139,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01677,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01160,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01224,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02205,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00214,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00423,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01816,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00516,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00598,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00544,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00680,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02795,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00655,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01993,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01267,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C00619,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01414,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00637,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01612,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01194,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01337,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00090,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
